epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.2263,4.44024,5.40484,4.20373,0,0,0,0,5.07363,5.34854,4.12804,8.68155e-05,8.68155e-05,8.68155e-05
2,127.83,4.31143,5.34335,4.08625,0,0,0,0,4.65587,5.2215,3.89829,0.000171865,0.000171865,0.000171865
3,184.96,3.993,5.1519,3.75877,0.00031,0.00109,0.00017,3e-05,4.65775,4.75572,3.54791,0.000254284,0.000254284,0.000254284
4,242.49,3.8165,4.68713,3.31132,0.0007,0.00423,0.0004,0.00011,4.46826,4.423,3.20376,0.000251165,0.000251165,0.000251165
5,299.91,3.74806,4.08375,2.87334,0.17455,0.00507,0.0008,0.00024,4.40631,4.23602,2.72318,0.00024722,0.00024722,0.00024722
6,358.076,3.61082,3.61534,2.42143,0.11033,0.00564,0.00232,0.00075,3.97194,3.59298,2.17348,0.000243275,0.000243275,0.000243275
7,418.059,3.43752,3.35978,2.12751,0.10901,0.00661,0.00345,0.001,3.94056,3.30871,2.07161,0.00023933,0.00023933,0.00023933
8,478.283,3.34599,3.23615,2.01949,0.18013,0.00592,0.00555,0.00216,3.6066,3.14503,1.86684,0.000235385,0.000235385,0.000235385
9,537.311,3.27688,3.17487,1.9462,0.18328,0.0074,0.00586,0.00215,3.52839,3.07758,1.85769,0.00023144,0.00023144,0.00023144
10,597.669,3.16626,3.10214,1.86365,0.18221,0.00776,0.00789,0.00313,3.40217,3.00511,1.7724,0.000227495,0.000227495,0.000227495
11,659.236,3.11796,3.04554,1.82205,0.15763,0.00899,0.00733,0.00272,3.32791,3.03095,1.73088,0.00022355,0.00022355,0.00022355
12,719.616,3.08613,2.99844,1.7862,0.18075,0.01077,0.00868,0.00336,3.27223,2.96485,1.6723,0.000219605,0.000219605,0.000219605
13,780.17,3.02757,2.98982,1.76904,0.1835,0.0123,0.00849,0.00319,3.22977,2.9333,1.69126,0.00021566,0.00021566,0.00021566
14,839.93,2.95665,2.93854,1.71899,0.1472,0.01114,0.00921,0.00331,3.24023,2.92078,1.66572,0.000211715,0.000211715,0.000211715
15,901.236,2.92902,2.91158,1.69361,0.18662,0.01288,0.01382,0.00518,3.1397,2.87995,1.60827,0.00020777,0.00020777,0.00020777
16,962.451,2.90103,2.9087,1.68802,0.01739,0.04002,0.01852,0.00741,3.06166,2.80369,1.55597,0.000203825,0.000203825,0.000203825
17,1023.72,2.90519,2.86785,1.65461,0.01949,0.0396,0.02003,0.00874,3.01793,2.81974,1.56018,0.00019988,0.00019988,0.00019988
18,1084.89,2.88404,2.85124,1.63268,0.02134,0.04233,0.02252,0.00902,3.05619,2.80304,1.54181,0.000195935,0.000195935,0.000195935
19,1146.6,2.85468,2.8408,1.62238,0.01971,0.04636,0.02213,0.00893,3.02269,2.7629,1.53184,0.00019199,0.00019199,0.00019199
20,1207.96,2.83061,2.8106,1.59942,0.02251,0.04945,0.02479,0.01079,2.87378,2.72161,1.45399,0.000188045,0.000188045,0.000188045
21,1267.93,2.807,2.77053,1.5901,0.09446,0.04678,0.02488,0.00917,3.00126,2.77798,1.52273,0.0001841,0.0001841,0.0001841
22,1329.69,2.7995,2.73656,1.56499,0.14301,0.03733,0.02687,0.01122,2.9011,2.70743,1.46915,0.000180155,0.000180155,0.000180155
23,1389.49,2.79029,2.74411,1.55503,0.10448,0.03804,0.02696,0.01211,2.85029,2.66094,1.4402,0.00017621,0.00017621,0.00017621
24,1450.16,2.76708,2.72857,1.55359,0.14277,0.03869,0.02988,0.01311,2.82628,2.64784,1.42972,0.000172265,0.000172265,0.000172265
25,1510.46,2.76052,2.713,1.54132,0.04236,0.06473,0.04223,0.01805,2.80275,2.61873,1.41446,0.00016832,0.00016832,0.00016832
26,1570.69,2.76068,2.72031,1.53532,0.21328,0.03866,0.0378,0.01327,2.84107,2.63409,1.44806,0.000164375,0.000164375,0.000164375
27,1630.72,2.74734,2.68459,1.52127,0.05859,0.07136,0.05512,0.0195,2.78231,2.57499,1.40313,0.00016043,0.00016043,0.00016043
28,1691.59,2.7392,2.67899,1.51781,0.03028,0.07088,0.03488,0.01316,2.81906,2.60687,1.41275,0.000156485,0.000156485,0.000156485
29,1751.63,2.71879,2.66757,1.51375,0.05766,0.07125,0.05383,0.01955,2.82207,2.60638,1.41465,0.00015254,0.00015254,0.00015254
30,1810.75,2.70914,2.64579,1.50132,0.05649,0.07412,0.05654,0.02261,2.78733,2.56266,1.41167,0.000148595,0.000148595,0.000148595
31,1869.69,2.68758,2.63491,1.49591,0.03605,0.07286,0.04753,0.01716,2.80166,2.58706,1.40183,0.00014465,0.00014465,0.00014465
32,1930.26,2.70819,2.63116,1.4883,0.03666,0.07784,0.04784,0.02199,2.7426,2.55045,1.38246,0.000140705,0.000140705,0.000140705
33,1990.03,2.69405,2.6328,1.48197,0.27597,0.0563,0.04616,0.01852,2.7301,2.56756,1.37796,0.00013676,0.00013676,0.00013676
34,2049.45,2.68347,2.61887,1.48614,0.34742,0.05233,0.04177,0.01824,2.7075,2.5051,1.36112,0.000132815,0.000132815,0.000132815
35,2110.02,2.6776,2.60617,1.47232,0.28396,0.05635,0.04488,0.02019,2.69999,2.54098,1.362,0.00012887,0.00012887,0.00012887
36,2169.39,2.68067,2.59914,1.4694,0.28326,0.05251,0.04626,0.02061,2.70355,2.51741,1.35341,0.000124925,0.000124925,0.000124925
37,2228.75,2.66875,2.59681,1.46639,0.31945,0.05594,0.04856,0.02342,2.6837,2.49387,1.34001,0.00012098,0.00012098,0.00012098
38,2288.85,2.64239,2.57059,1.45569,0.38531,0.05563,0.04765,0.0208,2.65223,2.49555,1.34241,0.000117035,0.000117035,0.000117035
39,2348.49,2.65507,2.57455,1.46227,0.33211,0.06115,0.04506,0.02049,2.67595,2.51375,1.34442,0.00011309,0.00011309,0.00011309
40,2408.09,2.62066,2.54004,1.45201,0.32875,0.0573,0.0476,0.02023,2.68811,2.50078,1.35163,0.000109145,0.000109145,0.000109145
41,2467.75,2.65084,2.5397,1.45333,0.36039,0.05715,0.04442,0.0191,2.70911,2.48451,1.35454,0.0001052,0.0001052,0.0001052
42,2527.07,2.64541,2.54387,1.45108,0.29418,0.07171,0.04979,0.02165,2.68399,2.48637,1.33798,0.000101255,0.000101255,0.000101255
43,2586.46,2.60593,2.52648,1.43793,0.3351,0.05385,0.04741,0.02098,2.66959,2.46931,1.34042,9.731e-05,9.731e-05,9.731e-05
44,2646.77,2.62185,2.5183,1.4354,0.33515,0.05787,0.04554,0.0208,2.6359,2.46244,1.31537,9.3365e-05,9.3365e-05,9.3365e-05
45,2706.82,2.63883,2.5224,1.44068,0.36636,0.05584,0.04762,0.02108,2.6405,2.46421,1.32378,8.942e-05,8.942e-05,8.942e-05
46,2765.65,2.62078,2.51248,1.44032,0.33052,0.05619,0.04569,0.01951,2.67099,2.49982,1.34714,8.5475e-05,8.5475e-05,8.5475e-05
47,2825.71,2.60371,2.50732,1.43655,0.31918,0.05211,0.04855,0.02056,2.65093,2.47764,1.32883,8.153e-05,8.153e-05,8.153e-05
48,2884.45,2.60705,2.49712,1.42513,0.28745,0.05708,0.04349,0.01869,2.65439,2.46825,1.33182,7.7585e-05,7.7585e-05,7.7585e-05
49,2944.81,2.60724,2.48483,1.4324,0.18918,0.06845,0.05062,0.02139,2.64531,2.45946,1.3278,7.364e-05,7.364e-05,7.364e-05
50,3003.95,2.59257,2.48451,1.42368,0.18092,0.06825,0.04676,0.02154,2.62011,2.43916,1.31003,6.9695e-05,6.9695e-05,6.9695e-05
51,3062.91,2.59763,2.4734,1.41586,0.32545,0.05874,0.05272,0.0235,2.61704,2.4402,1.3087,6.575e-05,6.575e-05,6.575e-05
52,3122.61,2.61014,2.48175,1.42003,0.29625,0.0572,0.05165,0.0222,2.62031,2.42651,1.31143,6.1805e-05,6.1805e-05,6.1805e-05
53,3182.58,2.60176,2.47529,1.4186,0.36479,0.0608,0.0496,0.02246,2.62856,2.43192,1.31216,5.786e-05,5.786e-05,5.786e-05
54,3241.97,2.60534,2.46166,1.41006,0.32847,0.06019,0.05128,0.02317,2.61985,2.41973,1.30492,5.3915e-05,5.3915e-05,5.3915e-05
55,3301.14,2.57948,2.46079,1.41655,0.32677,0.05928,0.0479,0.02167,2.61331,2.43329,1.30592,4.997e-05,4.997e-05,4.997e-05
56,3359.93,2.57657,2.44809,1.41327,0.33077,0.05936,0.05432,0.02452,2.61196,2.40741,1.30055,4.6025e-05,4.6025e-05,4.6025e-05
57,3425.13,2.56152,2.51698,1.41589,0.29067,0.05685,0.04782,0.02152,2.62542,2.46271,1.3072,4.208e-05,4.208e-05,4.208e-05
58,3489.9,2.53172,2.47392,1.40293,0.33697,0.05281,0.0561,0.02607,2.61708,2.45246,1.30339,3.8135e-05,3.8135e-05,3.8135e-05
59,3545.06,2.53805,2.46523,1.39591,0.33425,0.05806,0.05329,0.02377,2.60068,2.43923,1.29601,3.419e-05,3.419e-05,3.419e-05
60,3600.64,2.54488,2.47023,1.39646,0.29954,0.05842,0.05287,0.02375,2.60082,2.44058,1.28975,3.0245e-05,3.0245e-05,3.0245e-05
61,3656.06,2.52202,2.44711,1.39572,0.22292,0.05513,0.04823,0.022,2.60716,2.42826,1.29455,2.63e-05,2.63e-05,2.63e-05
62,3711.5,2.52001,2.4513,1.39474,0.25985,0.05859,0.05187,0.02371,2.61501,2.43858,1.28866,2.2355e-05,2.2355e-05,2.2355e-05
63,3766.39,2.51011,2.44349,1.3894,0.04068,0.10534,0.05314,0.02378,2.60445,2.42564,1.29162,1.841e-05,1.841e-05,1.841e-05
64,3821.2,2.52443,2.44642,1.39536,0.29777,0.05758,0.0503,0.0225,2.59433,2.42555,1.28629,1.4465e-05,1.4465e-05,1.4465e-05
65,3875.81,2.52964,2.44518,1.39337,0.047,0.10328,0.05571,0.02574,2.60026,2.4274,1.28795,1.052e-05,1.052e-05,1.052e-05
66,3931.38,2.5186,2.44126,1.39533,0.3331,0.05617,0.05405,0.02445,2.59717,2.42498,1.28556,6.575e-06,6.575e-06,6.575e-06
