epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.98,3.6726,4.31957,3.29603,0.22085,0.36642,0.19835,0.07972,2.54024,3.38063,2.3685,0.000415278,0.000415278,0.000415278
2,258.269,2.31945,2.34108,1.92358,0.43247,0.62387,0.50977,0.21686,1.88392,1.86482,1.74982,0.000816969,0.000816969,0.000816969
3,379.609,2.02923,1.83022,1.65172,0.7659,0.70682,0.77857,0.4134,1.65144,1.36406,1.52676,0.00120366,0.00120366,0.00120366
4,499.874,1.92509,1.55793,1.5334,0.82787,0.77239,0.83871,0.50356,1.42592,1.44284,1.30244,0.0011825,0.0011825,0.0011825
5,620.865,1.83351,1.40443,1.45538,0.71664,0.75904,0.85093,0.47714,1.4253,1.25669,1.26901,0.00116,0.00116,0.00116
6,740.806,1.76636,1.29015,1.41,0.89247,0.87393,0.92388,0.53482,1.36531,0.99385,1.18039,0.0011375,0.0011375,0.0011375
7,860.639,1.72417,1.23262,1.3646,0.83062,0.87169,0.92931,0.54428,1.37617,1.00018,1.19844,0.001115,0.001115,0.001115
8,981.66,1.696,1.17586,1.3529,0.91568,0.9094,0.95124,0.54246,1.33191,0.87253,1.11111,0.0010925,0.0010925,0.0010925
9,1102.42,1.64768,1.10457,1.32304,0.92258,0.90102,0.95391,0.58962,1.28606,0.85284,1.14373,0.00107,0.00107,0.00107
10,1223.66,1.60852,1.05889,1.29925,0.94309,0.90368,0.95327,0.56142,1.38695,0.81266,1.16697,0.0010475,0.0010475,0.0010475
11,1343.89,1.60333,1.0408,1.28863,0.95173,0.89833,0.96427,0.59743,1.23172,0.83094,1.10425,0.001025,0.001025,0.001025
12,1464.34,1.5586,0.99529,1.26826,0.95942,0.93028,0.9686,0.61166,1.22048,0.73724,1.08265,0.0010025,0.0010025,0.0010025
13,1585.1,1.5531,0.96975,1.25747,0.95637,0.92146,0.97794,0.63666,1.1784,0.68677,1.06592,0.00098,0.00098,0.00098
14,1705.18,1.52759,0.95155,1.25037,0.93798,0.92654,0.96598,0.58903,1.26861,0.73213,1.09164,0.0009575,0.0009575,0.0009575
15,1824.8,1.51347,0.9258,1.22596,0.94044,0.92895,0.97032,0.63379,1.16096,0.69627,1.06796,0.000935,0.000935,0.000935
16,1945.23,1.49225,0.9047,1.22463,0.95686,0.9569,0.98043,0.63864,1.19543,0.66507,1.05604,0.0009125,0.0009125,0.0009125
17,2065.5,1.48445,0.88515,1.22022,0.9485,0.94722,0.97877,0.62155,1.19049,0.72613,1.07077,0.00089,0.00089,0.00089
18,2185.1,1.47025,0.88626,1.20551,0.96801,0.93762,0.97392,0.60894,1.25414,0.69452,1.07477,0.0008675,0.0008675,0.0008675
19,2305.54,1.46434,0.86046,1.20074,0.97136,0.959,0.98501,0.63372,1.14889,0.64871,1.0352,0.000845,0.000845,0.000845
20,2425.31,1.4345,0.83469,1.18375,0.97625,0.9507,0.98673,0.66545,1.09496,0.62781,1.02471,0.0008225,0.0008225,0.0008225
21,2545.4,1.43382,0.8339,1.18546,0.96687,0.96701,0.98882,0.65897,1.11503,0.61219,1.01181,0.0008,0.0008,0.0008
22,2665.21,1.43197,0.83622,1.18089,0.95987,0.95706,0.98536,0.68938,1.10754,0.59849,1.02408,0.0007775,0.0007775,0.0007775
23,2784.65,1.4121,0.82879,1.17527,0.98263,0.97004,0.98807,0.6791,1.05142,0.58399,0.99752,0.000755,0.000755,0.000755
24,2904.35,1.4022,0.80727,1.17117,0.96968,0.95739,0.98681,0.6802,1.07741,0.58828,1.0026,0.0007325,0.0007325,0.0007325
25,3024.57,1.37782,0.795,1.15903,0.97384,0.95904,0.98839,0.6877,1.09029,0.59035,1.00566,0.00071,0.00071,0.00071
26,3144,1.37779,0.78161,1.15441,0.98413,0.96125,0.98876,0.69994,1.02916,0.55397,0.99735,0.0006875,0.0006875,0.0006875
27,3263.66,1.37058,0.77235,1.14667,0.99048,0.97723,0.99179,0.69986,1.03224,0.55625,0.98879,0.000665,0.000665,0.000665
28,3383.79,1.35873,0.77008,1.14655,0.97121,0.97713,0.98971,0.69615,1.04089,0.53872,0.9829,0.0006425,0.0006425,0.0006425
29,3503.36,1.3504,0.76207,1.13882,0.98911,0.97936,0.99262,0.704,1.00908,0.53616,0.98096,0.00062,0.00062,0.00062
30,3623.11,1.34318,0.7519,1.12974,0.98392,0.96879,0.99132,0.70925,1.05013,0.54726,0.9925,0.0005975,0.0005975,0.0005975
31,3743.59,1.33403,0.74902,1.13175,0.97402,0.98105,0.99019,0.70798,1.04604,0.54304,0.98291,0.000575,0.000575,0.000575
32,3863.41,1.34011,0.74419,1.135,0.98637,0.98024,0.99146,0.67089,1.106,0.53834,1.00573,0.0005525,0.0005525,0.0005525
33,3982.78,1.30882,0.71888,1.12121,0.99147,0.98268,0.99198,0.71421,1.00999,0.50938,0.97446,0.00053,0.00053,0.00053
34,4102.9,1.30919,0.72062,1.12337,0.98636,0.98223,0.99134,0.70764,1.03138,0.52452,0.97677,0.0005075,0.0005075,0.0005075
35,4222.99,1.29702,0.71266,1.11229,0.98535,0.98334,0.99153,0.71629,1.01633,0.50817,0.97053,0.000485,0.000485,0.000485
36,4342.62,1.31004,0.70703,1.11196,0.98842,0.9828,0.99148,0.71406,1.01564,0.51619,0.9722,0.0004625,0.0004625,0.0004625
37,4462.53,1.28124,0.70124,1.10299,0.98958,0.98004,0.99296,0.72402,0.99881,0.50253,0.96377,0.00044,0.00044,0.00044
38,4582.41,1.28062,0.68744,1.10267,0.98658,0.98436,0.99174,0.7129,1.04563,0.4996,0.98264,0.0004175,0.0004175,0.0004175
39,4702.04,1.27422,0.69268,1.10371,0.98816,0.97992,0.99195,0.71877,1.03114,0.50464,0.9665,0.000395,0.000395,0.000395
40,4821.57,1.26315,0.68319,1.09192,0.98586,0.98684,0.99253,0.72315,1.00587,0.49585,0.96334,0.0003725,0.0003725,0.0003725
41,4942.24,1.2549,0.67809,1.09169,0.98679,0.98584,0.99184,0.7225,0.9952,0.49175,0.96298,0.00035,0.00035,0.00035
42,5062.06,1.25043,0.67609,1.09222,0.98643,0.98653,0.99319,0.73222,0.99023,0.48507,0.95798,0.0003275,0.0003275,0.0003275
43,5181.98,1.24756,0.66827,1.08634,0.98622,0.98865,0.99319,0.72596,0.97977,0.48255,0.95804,0.000305,0.000305,0.000305
44,5302.16,1.23839,0.66414,1.08228,0.99248,0.9873,0.99331,0.72696,0.98599,0.48163,0.95926,0.0002825,0.0002825,0.0002825
45,5421.73,1.23973,0.6661,1.08359,0.99064,0.98404,0.99351,0.73532,0.95772,0.46697,0.94927,0.00026,0.00026,0.00026
46,5542.44,1.18692,0.60658,1.07966,0.98918,0.98685,0.99334,0.72705,0.94885,0.46854,0.94934,0.0002375,0.0002375,0.0002375
47,5662.39,1.16139,0.59096,1.072,0.98743,0.98902,0.99321,0.72852,0.96297,0.46842,0.95413,0.000215,0.000215,0.000215
48,5781.38,1.15952,0.58418,1.06601,0.99299,0.98925,0.99404,0.73077,0.96789,0.46068,0.94686,0.0001925,0.0001925,0.0001925
49,5900.36,1.1406,0.57704,1.05809,0.98943,0.99108,0.99398,0.74145,0.94557,0.45595,0.94448,0.00017,0.00017,0.00017
50,6019.8,1.13615,0.57182,1.0618,0.99117,0.98836,0.99408,0.74117,0.94597,0.45083,0.93945,0.0001475,0.0001475,0.0001475
