epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,430.971,4.71162,5.38387,4.10522,8e-05,0,5e-05,2e-05,4.40774,4.90311,3.72687,0.000144233,0.000144233,0.000144233
2,848.772,3.9263,4.51723,3.17995,0.31874,0.0044,0.00099,0.00025,3.94329,5.21677,2.70709,0.000277779,0.000277779,0.000277779
3,1263.11,3.5443,3.40325,2.32336,0.1236,0.02291,0.00838,0.0034,3.23628,3.00776,1.89248,0.000399842,0.000399842,0.000399842
4,1684.75,3.01746,2.85022,1.78721,0.19911,0.03369,0.02464,0.01275,2.77428,2.48755,1.58711,0.000383322,0.000383322,0.000383322
5,2110.59,2.69795,2.62395,1.58712,0.256,0.04191,0.03011,0.0151,2.44463,2.29246,1.43871,0.000366096,0.000366096,0.000366096
6,2529.17,2.5813,2.51483,1.49919,0.25356,0.0448,0.0331,0.01683,2.32783,2.23115,1.35777,0.00034887,0.00034887,0.00034887
7,2943.69,2.46585,2.42566,1.44174,0.20599,0.04802,0.03912,0.0212,2.28483,2.16144,1.32791,0.000331644,0.000331644,0.000331644
8,3361.66,2.38262,2.34518,1.39837,0.20945,0.05209,0.04006,0.02124,nan,nan,nan,0.000314418,0.000314418,0.000314418
9,3787.23,2.34814,2.32211,1.37289,0.21238,0.0533,0.04344,0.02335,nan,nan,nan,0.000297192,0.000297192,0.000297192
10,4205.09,2.29865,2.26849,1.34178,0.26364,0.0552,0.0454,0.0248,nan,nan,nan,0.000279966,0.000279966,0.000279966
11,4629.43,2.28916,2.24991,1.3241,0.26465,0.05997,0.04818,0.0273,nan,nan,nan,0.00026274,0.00026274,0.00026274
12,5049.37,2.26687,2.2404,1.31841,0.20931,0.06207,0.0478,0.02662,2.06454,2.01047,1.21732,0.000245514,0.000245514,0.000245514
13,5469.87,2.22972,2.2072,1.3036,0.32488,0.05566,0.0498,0.02639,2.06935,1.98232,1.21707,0.000228288,0.000228288,0.000228288
14,5888.3,2.20522,2.16509,1.29024,0.32233,0.06364,0.05256,0.02895,2.03281,1.91949,1.19746,0.000211062,0.000211062,0.000211062
15,6305.57,2.1975,2.15954,1.27851,0.32806,0.06018,0.05427,0.03073,2.00044,1.91014,1.17804,0.000193836,0.000193836,0.000193836
16,6476.16,2.13649,2.16419,1.27607,0.33232,0.06162,0.05509,0.03167,1.97116,1.90878,1.16201,0.00017661,0.00017661,0.00017661
17,6641.5,2.1156,2.11811,1.26848,0.33174,0.06184,0.05742,0.0331,1.97773,1.88272,1.16138,0.000159384,0.000159384,0.000159384
18,6806.26,2.09555,2.09884,1.26186,0.32865,0.06865,0.06064,0.03523,1.95676,1.83431,1.15952,0.000142158,0.000142158,0.000142158
19,6970.32,2.07752,2.07358,1.25543,0.28457,0.06233,0.05979,0.03533,1.95324,1.84016,1.15309,0.000124932,0.000124932,0.000124932
20,7135.47,2.07941,2.06138,1.25017,0.33471,0.06719,0.06123,0.03584,1.94061,1.827,1.14536,0.000107706,0.000107706,0.000107706
21,7299.72,2.07182,2.04535,1.24723,0.28008,0.06776,0.06331,0.03668,1.91625,1.8059,1.13941,9.048e-05,9.048e-05,9.048e-05
22,7467.04,2.06597,2.02661,1.24189,0.33726,0.07141,0.06491,0.03834,1.92347,1.78936,1.14189,7.3254e-05,7.3254e-05,7.3254e-05
23,7634.36,2.06047,2.01733,1.24149,0.28249,0.07358,0.06516,0.03821,1.90166,1.77606,1.13383,5.6028e-05,5.6028e-05,5.6028e-05
24,7796.56,2.03691,1.99536,1.23098,0.3387,0.07196,0.066,0.03887,1.90525,1.76644,1.1347,3.8802e-05,3.8802e-05,3.8802e-05
25,7960.4,2.04023,1.99238,1.23364,0.25503,0.07336,0.06634,0.03904,1.89847,1.75814,1.13164,2.1576e-05,2.1576e-05,2.1576e-05
